_unit_id	birthplace	date_of_birth	race_ethnicity	year_of_award	award	movie	person
670454353	"Chisinau, Moldova"	30-Sep-1895	White	1927	Best Director	Two Arabian Knights	Lewis Milestone
670454354	"Glasgow, Scotland"	2-Feb-1886	White	1930	Best Director	The Divine Lady	Frank Lloyd
670454355	"Chisinau, Moldova"	30-Sep-1895	White	1931	Best Director	All Quiet on the Western Front	Lewis Milestone
670454356	"Chicago, Il"	23-Feb-1899	White	1932	Best Director	Skippy	Norman Taurog
670454357	"Salt Lake City, Ut"	23-Apr-1894	White	1933	Best Director	Bad Girl	Frank Borzage
670454358	"Glasgow, Scotland"	2-Feb-1886	White	1934	Best Director	Cavalcade	Frank Lloyd
670454359	"Bisacquino, Sicily, Italy"	18-May-1897	White	1935	Best Director	It Happened One Night	Frank Capra
670454360	"Cape Elizabeth, Me"	1-Feb-1894	White	1936	Best Director	The Informer	John Ford
670454361	"Bisacquino, Sicily, Italy"	18-May-1897	White	1937	Best Director	Mr. Deeds Goes to Town	Frank Capra
670454362	"Los Angeles, Ca"	3-Oct-1898	White	1938	Best Director	The Awful Truth	Leo McCarey
670454363	"Bisacquino, Sicily, Italy"	18-May-1897	White	1939	Best Director	You Can't Take It with You	Frank Capra
670454364	"Pasadena, Ca"	23-Feb-1883	White	1940	Best Director	Gone with the Wind	Victor Fleming
670454365	"Cape Elizabeth, Me"	1-Feb-1894	White	1941	Best Director	The Grapes of Wrath	John Ford
670454366	"Cape Elizabeth, Me"	1-Feb-1894	White	1942	Best Director	How Green Was My Valley	John Ford
670454367	"Mulhouse, Haut-Rhin, Alsace, France"	1-Jul-02	White	1943	Best Director	Mrs. Miniver	William Wyler
670454368	"Budapest, Hungary"	24-Dec-1886	White	1944	Best Director	Casablanca	Michael Curtiz
670454369	"Los Angeles, Ca"	3-Oct-1898	White	1945	Best Director	Going My Way	Leo McCarey
670454370	New York City	11-Oct-18	White	1962	Best Director	West Side Story	Jerome Robbins
670454371	"Sucha, Galicia, Austria"	22-Jun-06	White	1946	Best Director	The Lost Weekend	Billy Wilder
670454372	"Mulhouse, Haut-Rhin, Alsace, France"	1-Jul-02	White	1947	Best Director	The Best Years of Our Lives	William Wyler
670454373	"Istanbul, Turkey"	7-Sep-09	White	1948	Best Director	Gentleman's Agreement	Elia Kazan
670454374	"Nevada, Mo"	5-Aug-06	White	1949	Best Director	The Treasure of the Sierra Madre	John Huston
670454375	"Wilkes-Barre, Pa"	11-Feb-09	White	1950	Best Director	A Letter to Three Wives	Joseph L. Mankiewicz
670454376	"Wilkes-Barre, Pa"	11-Feb-09	White	1951	Best Director	All About Eve	Joseph L. Mankiewicz
670454377	"Oakland, Ca"	18-Dec-04	White	1952	Best Director	A Place in the Sun	George Stevens
670454378	"Cape Elizabeth, Me"	1-Feb-1894	White	1953	Best Director	The Quiet Man	John Ford
670454379	"Vienna, Austria"	29-Apr-07	White	1954	Best Director	From Here to Eternity	Fred Zinnemann
670454380	"Istanbul, Turkey"	7-Sep-09	White	1955	Best Director	On the Waterfront	Elia Kazan
670454381	"Lawrence, Ks"	30-Jan-20	White	1956	Best Director	Marty	Delbert Mann
670454382	"Oakland, Ca"	18-Dec-04	White	1957	Best Director	Giant	George Stevens
670454383	"Croydon, Surrey, England"	25-Mar-08	White	1958	Best Director	The Bridge on the River Kwai	David Lean
670454384	"Chicago, Il"	28-Feb-03	White	1959	Best Director	Gigi	Vincente Minnelli
670454385	"Mulhouse, Haut-Rhin, Alsace, France"	1-Jul-02	White	1960	Best Director	Ben-Hur	William Wyler
670454386	"Sucha, Galicia, Austria"	22-Jun-06	White	1961	Best Director	The Apartment	Billy Wilder
670454387	"Winchester, In"	10-Sep-14	White	1961	Best Director	West Side Story	Robert Wise
670454388	"Croydon, Surrey, England"	25-Mar-08	White	1963	Best Director	Lawrence of Arabia	David Lean
670454389	"Shipley, Yorkshire, England"	5-Jun-28	White	1964	Best Director	Tom Jones	Tony Richardson
670454390	New York City	7-Jul-1899	White	1965	Best Director	My Fair Lady	George Cukor
670454391	"Winchester, In"	10-Sep-14	White	1966	Best Director	The Sound of Music	Robert Wise
670454392	"Vienna, Austria"	29-Apr-07	White	1967	Best Director	A Man for All Seasons	Fred Zinnemann
670454393	"Berlin, Germany"	6-Nov-31	White	1968	Best Director	The Graduate	Mike Nichols
670454394	"St. Louis Park, Mn"	29-Nov-54	White	2008	Best Director	No Country for Old Men	Joel Coen
670454395	"London, England"	30-Dec-06	White	1969	Best Director	Oliver!	Carol Reed
670454396	"London, England"	16-Feb-26	White	1969	Best Director	Midnight Cowboy	John Schlesinger
670454397	"Tokyo, Japan"	30-May-20	White	1970	Best Director	Patton	Franklin J. Schaffner
670454398	"Chicago, Il"	29-Aug-35	White	1972	Best Director	The French Connection	William Friedkin
670454399	"Chicago, Il"	23-Jun-27	White	1973	Best Director	Cabaret	Bob Fosse
670454400	"Minneapolis, Mn"	20-Dec-21	White	1973	Best Director	The Sting	George Roy Hill
670454401	"Detroit, Mi"	7-Apr-39	White	1975	Best Director	The Godfather Part II	Francis Ford Coppola
670454402	"Cáslav, Czechoslovakia"	18-Feb-32	White	1976	Best Director	One Flew over the Cuckoo's Nest	Milos Forman
670454403	"Oak Park, Il"	21-Dec-35	White	1976	Best Director	Rocky	John G. Avildsen
670454404	"Brooklyn, Ny"	1-Dec-35	White	1978	Best Director	Annie Hall	Woody Allen
670454405	New York City	3-Feb-39	White	1979	Best Director	The Deer Hunter	Michael Cimino
670454406	"Waxahachie, Tx"	29-Sep-32	White	1980	Best Director	Kramer vs. Kramer	Robert Benton
670454407	"Santa Monica, Ca"	18-Aug-1936 [1]	White	1980	Best Director	Ordinary People	Robert Redford
670454408	"Richmond, Va"	30-Mar-37	White	1981	Best Director	Reds	Warren Beatty
