_unit_id	birthplace	date_of_birth	race_ethnicity	year_of_award	award	movie	person
670454409	"Cambridge, England"	29-Aug-23	White	1982	Best Director	Gandhi	Richard Attenborough
670454410	"North Bergen, Nj"	9-May-40	White	1983	Best Director	Terms of Endearment	James L. Brooks
670454411	"Cáslav, Czechoslovakia"	18-Feb-32	White	1985	Best Director	Amadeus	Milos Forman
670454412	"Lafayette, In"	1-Jul-34	White	1986	Best Director	Out of Africa	Sydney Pollack
670454413	New York City	15-Sep-46	White	1990	Best Director	Platoon	Oliver Stone
670454414	"Parma, Emilia-Romagna, Italy"	16-Mar-41	White	1988	Best Director	The Last Emperor	Bernardo Bertolucci
670454415	"Baltimore, Md"	6-Apr-42	White	1989	Best Director	Rain Man	Barry Levinson
670454416	New York City	15-Sep-46	White	1990	Best Director	Born on the Fourth of July	Oliver Stone
670454417	"Lynwood, Ca"	18-Jan-55	White	1991	Best Director	Dances with Wolves	Kevin Costner
670454418	"Baldwin, Ny"	22-Feb-44	White	1992	Best Director	The Silence of the Lambs	Jonathan Demme
670454419	"San Francisco, Ca"	31-May-30	White	1993	Best Director	Unforgiven	Clint Eastwood
670454420	"Cincinnati, Oh"	18-Dec-46	White	1994	Best Director	Schindler's List	Steven Spielberg
670454421	"Chicago, Il"	14-May-52	White	1995	Best Director	Forrest Gump	Robert Zemeckis
670454422	"Peekskill, Ny"	3-Jan-56	White	1996	Best Director	Braveheart	Mel Gibson
670454423	"Ryde, Isle of Wight, England"	6-Jan-54	White	1997	Best Director	The English Patient	Anthony Minghella
670454424	"Kapuskasing, Ontario, Canada"	16-Aug-54	White	1998	Best Director	Titanic	James Cameron
670454425	"Cincinnati, Oh"	18-Dec-46	White	1999	Best Director	Saving Private Ryan	Steven Spielberg
670454426	"Reading, Berkshire, England"	1-Aug-65	White	2000	Best Director	American Beauty	Sam Mendes
670454427	"Atlanta, Ga"	14-Jan-63	White	2001	Best Director	Traffic	Steven Soderbergh
670454428	"Duncan, Ok"	1-Mar-54	White	2002	Best Director	A Beautiful Mind	Ron Howard
670454429	"Paris, France"	18-Aug-33	White	2003	Best Director	The Pianist	Roman Polanski
670454430	"Wellington, New Zealand"	31-Oct-61	White	2004	Best Director	The Lord of the Rings: Return of the King	Peter Jackson
670454431	"San Francisco, Ca"	31-May-30	White	2005	Best Director	Million Dollar Baby	Clint Eastwood
670454432	"Pingtung, Taiwan"	23-Oct-54	Asian	2006	Best Director	Brokeback Mountain	Ang Lee
670454433	"Flushing, Ny"	17-Nov-42	White	2007	Best Director	The Departed	Martin Scorsese
670454434	"St. Louis Park, Mn"	21-Sep-57	White	2008	Best Director	No Country for Old Men	Ethan Coen
670454435	"Manchester, England"	20-Oct-56	White	2009	Best Director	Slumdog Millionaire	Danny Boyle
670454436	"San Carlos, Ca"	27-Nov-51	White	2009	Best Director	The Hurt Locker	Kathryn Bigelow
670454437	"London, England"	1972	White	2011	Best Director	The King's Speech	Tom Hooper
670454438	"Paris, France"	29-Mar-67	White	2012	Best Director	The Artist	Michel Hazanavicius
670454439	"Pingtung, Taiwan"	23-Oct-54	Asian	2013	Best Director	Life of Pi	Ang Lee
670454440	"Rorschach, Switzerland"	23-Jul-1884	White	1929	Best Actor	The Last Command	Emil Jannings
670454441	"Columbus, Oh"	29-Mar-1889	White	1930	Best Actor	In Old Arizona	Warner Baxter
670454442	"London, England"	10-Apr-1868	White	1930	Best Actor	Desraeli	George Arliss
670454443	"Philadelphia, Pa"	28-Apr-1878	White	1931	Best Actor	A Free Soul	Lionel Barrymore
670454444	"Kansas City, Mo"	1-Apr-1885	White	1932	Best Actor	The Champ	Wallace Beery
670454445	"Victoria Hotel, Scarborough, Yorkshire, England"	1-Jul-1899	White	1934	Best Actor	The Private Life of Henry VIII	Charles Laughton
670454446	"Cadiz, Oh"	1-Feb-01	White	1935	Best Actor	It Happened One Night	Clark Gable
670454447	"Tunbridge Wells, Kent, England"	11-Dec-1883	White	1936	Best Actor	The Informer	Victor McLaglen
670454448	"Lviv, Ukraine"	22-Sep-1895	White	1937	Best Actor	The Story of Louis Pasteur	Paul Muni
670454449	"Milwaukee, Wi"	5-Apr-00	White	1938	Best Actor	Captains Courageous	Spencer Tracy
670454450	"Milwaukee, Wi"	5-Apr-00	White	1939	Best Actor	Boys Town	Spencer Tracy
670454451	"Withington, Manchester, England"	18-Mar-05	White	1940	Best Actor	Goodbye Mr. Chips	Robert Donat
670454452	"Indiana, Pa"	20-May-08	White	1941	Best Actor	The Philadelphia Story	Jimmy Stewart
670454453	"Helena, Mt"	7-May-01	White	1942	Best Actor	Sergeant York	Gary Cooper
670454454	"Manhattan, Ny"	17-Jul-1899	White	1943	Best Actor	Yankee Doodle Dandy	James Cagney
670454455	"Budapest, Hungary"	26-May-1887	White	1944	Best Actor	Watch on the Rhine	Paul Lukas
670454456	"Tacoma, Wa"	3-May-03	White	1945	Best Actor	Going My Way	Bing Crosby
670454457	"Neath, Wales"	3-Jan-07	White	1946	Best Actor	The Lost Weekend	Ray Milland
670454458	"Racine, Wi"	31-Aug-1897	White	1947	Best Actor	The Best Years of Our Lives	Fredric March
670454459	"Richmond, Surrey, England"	9-Feb-1891	White	1948	Best Actor	A Double Life	Ronald Colman
670454460	"Dorking, Surrey, England"	22-May-07	White	1949	Best Actor	Hamlet	Laurence Olivier
670454461	"Philadelphia, Pa"	9-Dec-11	White	1950	Best Actor	All The King's Men	Broderick Crawford
670454462	"Santurce, Puerto Rico"	8-Jan-09	Hispanic	1951	Best Actor	Cyrano de Bergerac	Jose Ferrer
670454463	New York City	25-Dec-1899	White	1952	Best Actor	The Africa Queen	Humphrey Bogart
670454464	"Helena, Mt"	7-May-01	White	1953	Best Actor	High Noon	Gary Cooper
670454465	"O'fallon, Il"	17-Apr-18	White	1954	Best Actor	Stalag 17	William Holden
670454466	"Omaha, Ne"	3-Apr-24	White	1955	Best Actor	On the Waterfront	Marlon Brando
670454467	"Hamden, Ct"	24-Jan-17	White	1956	Best Actor	Marty	Ernest Borgnine
670454468	"Vladivostok, Russia"	11-Jul-20	White	1957	Best Actor	The King and I	Yul Brynner
670454469	"London, England"	2-Apr-14	White	1958	Best Actor	The Bridge on the River Kwai	Alec Guinness
670454470	"London, England"	1-Mar-09	White	1959	Best Actor	Separate Tables	David Niven
670454471	"Evanston, Il"	4-Oct-23	White	1960	Best Actor	Ben-hur	Charlton Heston
670454472	New York City	2-Nov-13	White	1961	Best Actor	Elmer Gantry	Burt Lancaster
670454473	"Vienna, Austria"	8-Dec-30	White	1962	Best Actor	Judgement at Nuremberg	Maximilian Schell
670454474	"La Jolla, Ca"	5-Apr-16	White	1963	Best Actor	To Kill a Mockingbird	Gregory Peck
670454475	"Miami, Fl"	20-Feb-27	Black	1964	Best Actor	Lilies of the Field	Sidney Poitier
670454476	"Huyton, Lancashire, England"	5-Mar-08	White	1965	Best Actor	My Fair Lady	Rex Harrison
670454477	New York City	19-Feb-24	White	1966	Best Actor	Cat Ballou	Lee Marvin
670454478	"Hurstpierpoint, West Sussex, England"	21-Jan-22	White	1967	Best Actor	A Man For All Seasons	Paul Scofield
670454479	"Westhampton, Ny"	14-Apr-25	White	1968	Best Actor	In the Heat of the Night	Rod Steiger
670454480	"La Jolla, Ca"	9-Sep-23	White	1969	Best Actor	Charly	Cliff Robertson
670454481	"Winterset, Ia"	26-May-07	White	1970	Best Actor	True Grit	John Wayne
670454482	"Wise, Va"	18-Oct-27	White	1971	Best Actor	Patton	George C. Scott
670454483	"San Bernardino, Ca"	30-Jan-30	White	1972	Best Actor	The French Connection	Gene Hackman
670454484	"Omaha, Ne"	3-Apr-24	White	1973	Best Actor	The Godfather	Marlon Brando
670454485	"Newton, Ma"	8-Feb-25	White	1974	Best Actor	Save the Tiger	Jack Lemmon
670454486	"Mount Vernon, Ny"	4-Nov-18	White	1975	Best Actor	Harry and Tonto	Art Carney
670454487	New York City	22-Apr-37	White	1976	Best Actor	One Flew Over the Cuckoo's Nest	Jack Nicholson
670454488	"South Kensington, London, England"	28-Sep-16	White	1977	Best Actor	Network	Peter Finch
670454489	"Brooklyn, Ny"	29-Oct-47	White	1978	Best Actor	The Goodbye Girl	Richard Dreyfuss
670454490	"Yonkers, Ny"	29-Dec-38	White	1979	Best Actor	Coming Home	Jon Voight
670454491	"Los Angeles, Ca"	8-Aug-37	White	1980	Best Actor	Kramer vs. Kramer	Dustin Hoffman
670454492	New York City	17-Aug-43	White	1981	Best Actor	Raging Bull	Robert De Niro
670454493	"Grand Island, Ne"	16-May-05	White	1982	Best Actor	On Golden Pond	Henry Fonda
670454494	"Scarborough, Yorkshire, England"	31-Dec-43	Multiracial	1983	Best Actor	Gandhi	Ben Kingsley
670454495	"San Diego, Ca"	5-Jan-31	White	1984	Best Actor	Tender Mercies	Robert Duvall
670454496	"Pittsburgh, Pa"	24-Oct-39	Middle Eastern	1985	Best Actor	Amadeus	F. Murray Abraham
670454497	"Washington, Dc"	20-Mar-50	White	1986	Best Actor	Kiss of the Spider Woman	William Hurt
670454498	"Shaker Heights, Oh"	26-Jan-25	White	1987	Best Actor	The Color of Money	Paul Newman
670454499	"New Brunswick, Nj"	25-Sep-44	White	1988	Best Actor	Wall Street	Michael Douglas
670454500	"Los Angeles, Ca"	8-Aug-37	White	1989	Best Actor	Rainman	Dustin Hoffman
670454501	"London, England"	29-Apr-57	White	1990	Best Actor	My Left Foot	Daniel Day-Lewis
670454502	"Cowes, Isle of Wight, England"	19-Sep-48	White	1991	Best Actor	Reversal of Fortune	Jeremy Irons
670454503	"Port Talbot, Wales"	31-Dec-37	White	1992	Best Actor	Silence of the Lambs	Anthony Hopkins
670454504	"East Harlem, New York City"	25-Apr-40	White	1993	Best Actor	Scent of a Woman	Al Pacino
670454505	"Concord, Ca"	9-Jul-56	White	1994	Best Actor	Philadelphia	Tom Hanks
670454506	"Concord, Ca"	9-Jul-56	White	1995	Best Actor	Forrest Gump	Tom Hanks
670454507	"Long Beach, Ca"	7-Jan-64	White	1996	Best Actor	Leaving Las Vegas	Nicolas Cage
670454508	"Toowoomba, Queensland, Australia"	6-Jul-51	White	1997	Best Actor	Shine	Geoffrey Rush
670454509	New York City	22-Apr-37	White	1997	Best Actor	As Good as It Gets	Jack Nicholson
670454510	"Misericordia, Arezzo, Tuscany, Italy"	27-Oct-52	White	1999	Best Actor	Life is Beautiful	Roberto Benigni
670454511	"South Orange, Nj"	26-Jul-59	White	2000	Best Actor	American Beauty	Kevin Spacey
670454512	"Wellington, New Zealand"	7-Apr-64	White	2001	Best Actor	Gladiator	Russell Crowe
670454513	"Mount Vernon, Ny"	28-Dec-54	Black	2002	Best Actor	Training Day	Denzel Washington
670454514	New York City	14-Apr-73	White	2003	Best Actor	The Pianist	Adrien Brody
670454515	"Burbank, Ca"	17-Aug-60	White	2003	Best Actor	Mystic River	Sean Penn
670454516	"Terrell, Tx"	13-Dec-67	Black	2005	Best Actor	Ray	Jamie Foxx
670454517	"Fairport, Ny"	23-Jul-67	White	2006	Best Actor	Capote	Philip Seymour Hoffman
670454518	"Longview, Tx"	15-Jul-61	Black	2007	Best Actor	The Last King of Scotland	Forest Whitaker
670454519	"London, England"	29-Apr-57	White	2008	Best Actor	There Will Be Blood	Daniel Day-Lewis
670454520	"Burbank, Ca"	17-Aug-60	White	2009	Best Actor	Milk	Sean Penn
670454521	"Los Angeles, Ca"	4-Dec-49	White	2010	Best Actor	Crazy Heart	Jeff Bridges
670454522	"Grayshott, Hampshire, England"	10-Sep-60	White	2011	Best Actor	The King's Speech	Colin Firth
670454523	"Rueil-Malmaison, Hauts-De-Seine, France"	19-Jun-72	White	2012	Best Actor	The Artist	Jean Dujardin
670454524	"London, England"	29-Apr-57	White	2013	Best Actor	Lincoln	Daniel Day-Lewis
670454525	"Uvalde, Tx"	4-Nov-69	White	2014	Best Actor	Dallas Buyers Club	Matthew McConaughey
670454526	"Swampscott, Ma"	25-Jul-1894	White	1938	Best Supporting Actor	Come and Get It	Walter Brennan
670454527	"Vienna, Austria"	22-Mar-1896	White	1938	Best Supporting Actor	The Life of Emile Zola	Joseph Schildkraut
670454528	"Swampscott, Ma"	25-Jul-1894	White	1939	Best Supporting Actor	Kentucky	Walter Brennan
670454529	"Elizabeth, Nj"	11-Jul-1892	White	1940	Best Supporting Actor	Stagecoach	Thomas Mitchell
670454530	"Swampscott, Ma"	25-Jul-1894	White	1941	Best Supporting Actor	The Westerner	Walter Brennan
670454531	"London, England"	27-Jul-1880	White	1942	Best Supporting Actor	How Green Was My Valley	Donald Crisp
670454532	"Walters, Ok"	13-Dec-10	White	1943	Best Supporting Actor	Johnny Eager	Van Heflin
670454533	"Savannah, Ga"	17-Jun-1877	White	1944	Best Supporting Actor	The More the Merrier	Charles Coburn
670454534	"Dublin, Ireland"	10-Mar-1888	White	1945	Best Supporting Actor	Going My Way	Barry Fitzgerald
670454535	New York City	2-Nov-01	White	1946	Best Supporting Actor	A Tree Grows in Brooklyn	James Dunn
670454536	"North Sydney, Nova Scotia, Canada"	14-Jan-14	White	1947	Best Supporting Actor	The Best Years of Our Lives	Harold Russell
670454537	"Vale of Glamorgan, Wales"	26-Sep-1875	White	1948	Best Supporting Actor	Miracle on 34th Street	Edmund Gwenn
670454538	"Toronto, Ontario, Canada"	6-Apr-1884	White	1949	Best Supporting Actor	The Treasure of the Sierra Madre	Walter Huston
670454539	"Lima, Oh"	7-Nov-03	White	1950	Best Supporting Actor	Twelve O'Clock High	Dean Jagger
670454540	"St. Petersburg, Russia"	3-Jul-06	White	1951	Best Supporting Actor	All About Eve	George Sanders
670454541	"Chicago, Il"	22-Mar-12	White	1952	Best Supporting Actor	A Streetcar Named Desire	Karl Malden
670454542	"Chihuahua, Mexico"	21-Apr-15	Hispanic	1953	Best Supporting Actor	Viva Zapata!	Anthony Quinn
670454543	"Hoboken, Nj"	12-Dec-15	White	1954	Best Supporting Actor	From Here to Eternity	Frank Sinatra
670454544	New York City	10-Sep-15	White	1955	Best Supporting Actor	The Barefoot Contessa	Edmond O'Brien
670454545	"Newton, Ma"	8-Feb-25	White	1956	Best Supporting Actor	Mister Roberts	Jack Lemmon
670454546	"Chihuahua, Mexico"	21-Apr-15	Hispanic	1957	Best Supporting Actor	Lust for Life	Anthony Quinn
670454547	New York City	5-Feb-19	White	1958	Best Supporting Actor	Sayonara	Red Buttons
670454548	"Hunt City, Il"	14-Jun-09	White	1959	Best Supporting Actor	The Big Country	Burl Ives
670454549	"Marian Glas, Anglesey, Wales"	30-May-12	White	1960	Best Supporting Actor	Ben-Hur	Hugh Griffith
670454550	"London, England"	16-Apr-21	White	1961	Best Supporting Actor	Spartacus	Peter Ustinov
670454551	"Norwood, Oh"	16-Sep-34	White	1962	Best Supporting Actor	West Side Story	George Chakiris
670454552	"Hartford, Ct"	25-Mar-01	White	1963	Best Supporting Actor	Sweet Bird of Youth	"Ed Begley, Sr."
670454553	"Macon, Ga"	5-Apr-01	White	1964	Best Supporting Actor	Hud	Melvyn Douglas
670454554	"London, England"	16-Apr-21	White	1965	Best Supporting Actor	Topkapi	Peter Ustinov
670454555	"Bronx, Ny"	4-Nov-19	White	1966	Best Supporting Actor	A Thousand Clowns	Martin Balsam
670454556	New York City	1-Oct-20	White	1967	Best Supporting Actor	The Fortune Cookie	Walter Matthau
670454557	New York City	18-Feb-25	White	1968	Best Supporting Actor	Cool Hand Luke	George Kennedy
670454558	"Malden, Ma"	16-Jun-07	White	1969	Best Supporting Actor	The Subject Was Roses	Jack Albertson
670454559	"St. Cloud, Mn"	4-Nov-13	White	1970	Best Supporting Actor	"They Shoot Horses, Don't They?"	Gig Young
670454560	"Felixstowe, Suffolk, England"	22-Feb-08	White	1971	Best Supporting Actor	Ryan's Daughter	John Mills
670454561	"Shidler, Ok"	13-Jun-18	White	1972	Best Supporting Actor	The Last Picture Show	Ben Johnson
670454562	"Cleveland, Oh"	11-Apr-32	White	1973	Best Supporting Actor	Cabaret	Joel Grey
670454563	"Bucharest, Romania"	22-Sep-02	White	1974	Best Supporting Actor	The Paper Chase	John Houseman
670454564	New York City	17-Aug-43	White	1975	Best Supporting Actor	The Godfather Part II	Robert De Niro
670454565	New York City	20-Jan-1896	White	1976	Best Supporting Actor	The Sunshine Boys	George Burns
670454566	"Chicago, Il"	26-Jul-22	White	1977	Best Supporting Actor	All the President's Men	Jason Robards
670454567	"Chicago, Il"	26-Jul-22	White	1978	Best Supporting Actor	Julia	Jason Robards
670454568	"Astoria, Ny"	31-Mar-43	White	1979	Best Supporting Actor	The Deer Hunter	Christopher Walken
670454569	"Macon, Ga"	5-Apr-01	White	1980	Best Supporting Actor	Being There	Melvyn Douglas
670454570	"Malibu, Ca"	16-Aug-60	White	1981	Best Supporting Actor	Oridnary People	Timothy Hutton
670454571	"London, England"	14-Apr-04	White	1982	Best Supporting Actor	Arthur	John Gielgud
670454572	"Brooklyn, Ny"	27-May-36	Black	1983	Best Supporting Actor	An Officer and a Gentleman	"Lou Gossett, Jr."
670454573	New York City	22-Apr-37	White	1984	Best Supporting Actor	Terms of Endearment	Jack Nicholson
670454574	"Samrong Young, Cambodia"	22-Mar-40	Asian	1985	Best Supporting Actor	The Killing Fields	Haing S. Ngor
670454575	"Kenosha, Wi"	31-May-04	White	1986	Best Supporting Actor	Cocoon	Don Ameche
670454576	"Bermondsey, England"	14-Mar-33	White	1987	Best Supporting Actor	Hannah and Her Sisters	Michael Caine
670454577	"Edinburgh, Scotland"	25-Aug-30	White	1988	Best Supporting Actor	The Untouchables	Sean Connery
670454578	"St. Louis, Mo"	24-Oct-47	White	1989	Best Supporting Actor	A Fish Called Wanda	Kevin Kline
670454579	"Mount Vernon, Ny"	28-Dec-54	Black	1990	Best Supporting Actor	Glory	Denzel Washington
670454580	"Newark, Nj"	9-Feb-43	White	1991	Best Supporting Actor	Good Fellas	Joe Pesci
670454581	"Lattimer Mines, Pa"	18-Feb-19	White	1992	Best Supporting Actor	City Slickers	Jack Palance
670454582	"San Bernardino, Ca"	30-Jan-30	White	1993	Best Supporting Actor	Unforgiven	Gene Hackman
670454583	"San Saba, Tx"	15-Sep-46	White	1994	Best Supporting Actor	The Fugitive	Tommy Lee Jones
670454584	"Brooklyn, Ny"	20-Jun-31	White	1995	Best Supporting Actor	Ed Wood	Martin Landau
670454585	"South Orange, Nj"	26-Jul-59	White	1996	Best Supporting Actor	The Usual Suspects	Kevin Spacey
670454586	"Bronx, Ny"	2-Jan-68	Black	1997	Best Supporting Actor	Jerry Maguire	"Cuba Gooding, Jr."
670454587	"Chicago, Il"	21-Jul-51	White	1998	Best Supporting Actor	Good Will Hunting	Robin Williams
670454588	"Laurel, Ne"	31-Aug-28	White	1999	Best Supporting Actor	Affliction	James Coburn
670454589	"Bermondsey, England"	14-Mar-33	White	2000	Best Supporting Actor	The Cider House Rules	Michael Caine
670454590	"Santurce, Puerto Rico"	19-Feb-67	Hispanic	2001	Best Supporting Actor	Traffic	Benicio Del Toro
670454591	"Lincoln, Lincolnshire, England"	24-May-49	White	2002	Best Supporting Actor	Iris	Jim Broadbent
670454592	"Kansas City, Mo"	9-Jul-51	White	2003	Best Supporting Actor	Adaptation	Chris Cooper
670454593	"West Covina, Ca"	16-Oct-58	White	2004	Best Supporting Actor	Mystic River	Tim Robbins
670454594	"Memphis, Tn"	1-Jun-37	Black	2005	Best Supporting Actor	Million Dollar Baby	Morgan Freeman
670454595	"Lexington, Ky"	6-May-61	White	2006	Best Supporting Actor	Syriana	George Clooney
670454596	"Brooklyn, Ny"	26-Mar-34	White	2007	Best Supporting Actor	Little Miss Sunshine	Alan Arkin
670454597	"Las Palmas De Gran Canaria, Canary Islands"	1-Mar-69	Hispanic	2008	Best Supporting Actor	No Country for Old Men	Javier Bardem
670454598	"Perth, Australia"	4-Apr-79	White	2009	Best Supporting Actor	The Dark Knight	Heath Ledger
670454599	Na	4-Oct-56	White	2010	Best Supporting Actor	Inglourious Basterds	Christoph Waltz
670454600	"Haverfordwest, Pembrokeshire, Wales"	30-Jan-74	White	2011	Best Supporting Actor	The Fighter	Christian Bale
670454601	"Toronto, Ontario, Canada"	13-Dec-29	White	2012	Best Supporting Actor	Beginning	Christopher Plummer
670454602	Na	4-Oct-56	White	2013	Best Supporting Actor	Django Unchained	Christoph Waltz
670454603	"Bossier City, La"	26-Dec-71	White	2014	Best Supporting Actor	Dallas Buyers Club	Jared Leto
670454604	"Philadelphia, Pa"	6-Oct-06	White	1929	Best Actress	7th Heaven	Janet Gaynor
670454605	"Toronto, Ontario, Canada"	8-Apr-1892	White	1930	Best Actress	Coquette	Mary Pickford
670454606	"Montreal, Quebec, Canada"	10-Aug-02	White	1930	Best Actress	The Divorcee	Norma Shearer
670454607	"Cobourg, Ontario, Canada"	2-Nov-1868	White	1931	Best Actress	Min and Bill	Marie Dressler
670454608	"Washington, Dc"	10-Oct-00	White	1932	Best Actress	The Sin of Madelon Claudet	Helen Hayes
670454609	"Hartford, Ct"	12-May-07	White	1934	Best Actress	Morning Glory	Katharine Hepburn
670454610	"Paris, France"	13-Sep-03	White	1935	Best Actress	It Happened One Night	Claudette Colbert
670454611	"Lowell, Ma"	5-Apr-08	White	1936	Best Actress	Dangerous	Bette Davis
670454612	"Dusseldorf, Germany"	12-Jan-10	White	1937	Best Actress	The Great Ziegfeld	Luise Rainer
670454613	"Dusseldorf, Germany"	12-Jan-10	White	1938	Best Actress	The Good Earth	Luise Rainer
670454614	"Lowell, Ma"	5-Apr-08	White	1939	Best Actress	Jezebel	Bette Davis
670454615	"Darjeeling, India"	5-Nov-13	White	1940	Best Actress	Gone with the Wind	Vivien Leigh
670454616	"Independence, Mo"	16-Jul-11	White	1941	Best Actress	Kitty Foyle	Ginger Rogers
670454617	"Tokyo, Japan"	22-Oct-17	White	1940	Best Actress	Suspicion	Joan Fontaine
670454618	"London, England"	29-Sep-04	White	1942	Best Actress	Mrs. Miniver	Greer Garson
